iter	Passed	Remaining
0	92	92253
1	93	46625
2	94	31367
3	95	23732
4	96	19152
5	97	16098
6	98	13911
7	98	12273
8	99	11002
9	102	10104
10	103	9284
11	104	8599
12	105	8026
13	106	7519
14	107	7072
15	108	6680
16	110	6372
17	111	6096
18	112	5820
19	113	5571
20	114	5343
21	115	5135
22	116	4946
23	117	4772
24	118	4614
25	120	4501
26	121	4366
27	122	4239
28	123	4120
29	123	4009
30	124	3905
31	125	3808
32	126	3718
33	129	3673
34	130	3600
35	131	3521
36	132	3447
37	133	3377
38	135	3334
39	137	3311
40	139	3256
41	140	3198
42	141	3144
43	142	3092
44	147	3132
45	148	3081
46	150	3045
47	151	3010
48	152	2967
49	154	2940
50	156	2904
51	157	2871
52	159	2843
53	161	2823
54	162	2792
55	163	2757
56	165	2740
57	166	2709
58	167	2677
59	168	2645
60	170	2619
61	172	2607
62	174	2595
63	175	2566
64	176	2537
65	179	2535
66	180	2517
67	182	2498
68	183	2480
69	185	2458
70	186	2446
71	189	2436
72	191	2427
73	194	2437
74	196	2420
75	197	2401
76	199	2389
77	201	2385
78	202	2364
79	204	2346
80	204	2325
81	205	2305
82	208	2301
83	209	2285
84	210	2268
85	212	2254
86	213	2239
87	215	2230
88	216	2217
89	218	2211
90	219	2194
91	222	2191
92	223	2184
93	225	2171
94	226	2157
95	227	2142
96	230	2143
97	232	2138
98	233	2123
99	234	2108
100	235	2094
101	239	2104
102	240	2093
103	241	2081
104	242	2068
105	244	2059
106	245	2051
107	248	2052
108	249	2040
109	250	2027
110	253	2031
111	254	2020
112	256	2012
113	257	2002
114	258	1993
115	261	1990
116	262	1978
117	263	1967
118	264	1959
119	265	1948
120	268	1953
121	269	1942
122	271	1933
123	272	1924
124	275	1928
125	277	1926
126	278	1915
127	279	1905
128	281	1903
129	283	1896
130	284	1888
131	285	1879
132	286	1870
133	288	1862
134	290	1863
135	292	1860
136	293	1850
137	294	1841
138	297	1845
139	299	1838
140	300	1831
141	301	1821
142	302	1813
143	303	1806
144	305	1799
145	307	1796
146	309	1795
147	311	1793
148	312	1786
149	314	1779
150	315	1772
151	316	1766
152	319	1766
153	320	1759
154	321	1753
155	322	1746
156	324	1742
157	327	1745
158	328	1738
159	329	1731
160	330	1723
161	331	1715
162	332	1709
163	333	1702
164	334	1694
165	335	1687
166	340	1696
167	342	1697
168	343	1691
169	345	1687
170	346	1680
171	347	1674
172	350	1677
173	353	1677
174	354	1671
175	357	1671
176	359	1669
177	360	1662
178	361	1656
179	362	1649
180	363	1642
181	364	1636
182	365	1630
183	366	1623
184	372	1640
185	373	1636
186	375	1633
187	377	1628
188	378	1623
